sentence1,sentence2,score
Video Sekumpulan Lelaki Bermain Alat Muzik Berdekatan Masjid Adalah Video Lama,Video Sekumpulan Lelaki Bermain Alat Muzik Berdekatan Masjid Adalah Video Lama,1.0
JAKIM Tiada Kaitan Dengan Surat Pelaburan Patuh Syariah Yang Meminta Pelanggan Memindahkan Wang,JAKIM Tiada Kaitan Dengan Surat Pelaburan Patuh Syariah Yang Meminta Pelanggan Memindahkan Wang,1.0
Penjelasan Berkenaan Dakwaan Buah Nanas Yang Mengandungi Siklamat,Penjelasan Berkenaan Dakwaan Buah Nanas Yang Mengandungi Siklamat,1.0
KKM Tidak Pernah Memperakui Sebarang Produk Yang Merawat Diabetes Dan Mengawal Gula Dalam Darah,KKM Tidak Pernah Memperakui Sebarang Produk Yang Merawat Diabetes Dan Mengawal Gula Dalam Darah,1.0
Dakwaan Terdapat Kejadian Culik Kanak-Kanak Di Daerah Alor Gajah Adalah Tidak Benar,Dakwaan Terdapat Kejadian Culik Kanak-Kanak Di Daerah Alor Gajah Adalah Tidak Benar,1.0
Dakwaan Bahawa Empangan Tasik Kenyir Akan Pecah Adalah Tidak Benar,Dakwaan Bahawa Empangan Tasik Kenyir Akan Pecah Adalah Tidak Benar,1.0
Iklan Menawarkan Bantuan Lesen Memandu Percuma Adalah Tidak Benar,Iklan Menawarkan Bantuan Lesen Memandu Percuma Adalah Tidak Benar,1.0
Mesej Tular Mengenai Kegiatan Penculikan Kanak-Kanak Untuk Tujuan Penjualan Organ Adalah Tidak Benar,Mesej Tular Mengenai Kegiatan Penculikan Kanak-Kanak Untuk Tujuan Penjualan Organ Adalah Tidak Benar,1.0
Waspada Panggilan Telefon Yang Meminta Nombor OTP Atau TAC,Waspada Panggilan Telefon Yang Meminta Nombor OTP Atau TAC,1.0
Waspada Dengan Penipuan Melalui Penggunaan Fail APK,Waspada Dengan Penipuan Melalui Penggunaan Fail APK,1.0
Surat Dari MOF Meminta Melakukan Pembayaran Bagi Mendapatkan Sejumlah Wang Tertentu Adalah Tidak Benar,Surat Dari MOF Meminta Melakukan Pembayaran Bagi Mendapatkan Sejumlah Wang Tertentu Adalah Tidak Benar,1.0
"Penjelasan Isu Logo Halal NAHA, Jepun Pada Produk Instant Rice Noodle","Penjelasan Isu Logo Halal NAHA, Jepun Pada Produk Instant Rice Noodle",1.0
Dakwaan Bahawa DYMM Sultan Johor Mengeluarkan Kenyataan Terhadap Sebuah Parti Politik Adalah Tidak Benar,Dakwaan Bahawa DYMM Sultan Johor Mengeluarkan Kenyataan Terhadap Sebuah Parti Politik Adalah Tidak Benar,1.0
Waspada Group Telegram Pelaburan Palsu Yang Menggunakan Nama & Logo MIDA,Waspada Group Telegram Pelaburan Palsu Yang Menggunakan Nama & Logo MIDA,1.0
Waspada Dengan Panggilan Menyamar Sebagai Pegawai LHDNM,Waspada Dengan Panggilan Menyamar Sebagai Pegawai LHDNM,1.0
Waspada SMS Kononnya dari Pihak Touch ‘n Go,Waspada SMS Kononnya dari Pihak Touch ‘n Go,1.0
Waspada Penyalahgunaan Logo Dan Menyamar Sebagai Pegawai BNM Atau LHDN,Waspada Penyalahgunaan Logo Dan Menyamar Sebagai Pegawai BNM Atau LHDN,1.0
Waspada Panggilan Palsu Menggunakan Nama K-KOMM,Waspada Panggilan Palsu Menggunakan Nama K-KOMM,1.0
Waspada SMS Bantuan Khas Kewangan COVID-19 Dikreditkan Ke Akaun E-Wallet Touch ‘n Go,Waspada SMS Bantuan Khas Kewangan COVID-19 Dikreditkan Ke Akaun E-Wallet Touch ‘n Go,1.0
Penjelasan Berhubung Kekeliruan Larangan Pengisian Minyak Petrol Dan Diesel Di Stesen Minyak,Penjelasan Berhubung Kekeliruan Larangan Pengisian Minyak Petrol Dan Diesel Di Stesen Minyak,1.0
Penjelasan YAB PM Berkenaan Minyak Masak Paket Yang Digunakan Penjaja Goreng Pisang,Penjelasan YAB PM Berkenaan Minyak Masak Paket Yang Digunakan Penjaja Goreng Pisang,1.0
Waspada Sindiket Penipuan Yang Menyamar Serta Menggunakan Gambar Datuk Bandar Johor,Waspada Sindiket Penipuan Yang Menyamar Serta Menggunakan Gambar Datuk Bandar Johor,1.0
Dakwaan Terdapat ‘Bantuan Suri Rumah’ Dari Pihak JKM Adalah Tidak Benar,Dakwaan Terdapat ‘Bantuan Suri Rumah’ Dari Pihak JKM Adalah Tidak Benar,1.0
LPM Tidak Melantik Ejen Atau Pihak Ketiga Untuk Menguruskan Jualan Rumah Di Melaka,LPM Tidak Melantik Ejen Atau Pihak Ketiga Untuk Menguruskan Jualan Rumah Di Melaka,1.0
Waspada Penyamaran Dan Penggunaan Gambar Profil Warga PDRM Di Media Sosial,Waspada Penyamaran Dan Penggunaan Gambar Profil Warga PDRM Di Media Sosial,1.0
Pautan Semak Kelayakan PerantiSiswa Yang Tular Bukan Daripada Saluran Rasmi Kementerian,Pautan Semak Kelayakan PerantiSiswa Yang Tular Bukan Daripada Saluran Rasmi Kementerian,1.0
Poster Bahawa Rakyat Tidak Wajib Memakai Pelitup Muka Bermula 29 Mac Adalah Tidak Benar,Poster Bahawa Rakyat Tidak Wajib Memakai Pelitup Muka Bermula 29 Mac Adalah Tidak Benar,1.0
Dakwaan Pihak Berkuasa Tidak Mengambil Tindakan Terhadap Seorang Wanita Mendera Seorang Kanak-Kanak Tidak Benar,Dakwaan Pihak Berkuasa Tidak Mengambil Tindakan Terhadap Seorang Wanita Mendera Seorang Kanak-Kanak Tidak Benar,1.0
"EPU, JPM Tidak Membuat Tinjauan Berkenaan Menambah Baik Industri/ Sektor Pertanian","EPU, JPM Tidak Membuat Tinjauan Berkenaan Menambah Baik Industri/ Sektor Pertanian",1.0
IPD Tapah Tidak Pernah Mengeluarkan Amaran Mengenai Sindiket Rompakan Bersenjata Yang Menyamar Dari Syarikat Air Atau Elektrik,IPD Tapah Tidak Pernah Mengeluarkan Amaran Mengenai Sindiket Rompakan Bersenjata Yang Menyamar Dari Syarikat Air Atau Elektrik,1.0
Waspada Peraduan Yang Menggunakan Nama MCMC Bagi Tuntutan Hadiah Kononnya Daripada Syarikat Komunikasi,Waspada Peraduan Yang Menggunakan Nama MCMC Bagi Tuntutan Hadiah Kononnya Daripada Syarikat Komunikasi,1.0
Tiada Pelepasan Air Dari Empangan Durian Tunggal,Tiada Pelepasan Air Dari Empangan Durian Tunggal,1.0
Dakwaan Penutupan Laluan Gerik – Jeli Akibat Banjir Adalah Tidak Benar,Dakwaan Penutupan Laluan Gerik – Jeli Akibat Banjir Adalah Tidak Benar,1.0
PDRM Bersama PGA PDRM Menjalankan Penugasan Rondaan Keselamatan Bagi Penguatkuasaan SOPDi Kawasan Tumpuan Orang Ramai,PDRM Bersama PGA PDRM Menjalankan Penugasan Rondaan Keselamatan Bagi Penguatkuasaan SOPDi Kawasan Tumpuan Orang Ramai,1.0
Hanya Kawasan Yang Terjejas Banjir Sahaja Akan Menghadapi Penutupan Bekalan Elektrik,Hanya Kawasan Yang Terjejas Banjir Sahaja Akan Menghadapi Penutupan Bekalan Elektrik,1.0
JMG Tidak Mengeluarkan Arahan Bercuti Atau Kebenaran Bagi Tujuan Bom Di Kawasan Tertentu,JMG Tidak Mengeluarkan Arahan Bercuti Atau Kebenaran Bagi Tujuan Bom Di Kawasan Tertentu,1.0
Dakwaan Bahawa Kemuncak Monsun Timur Laut Akan Berlaku Pada 24 – 26 Disember 2021 Adalah Tidak Benar,Dakwaan Bahawa Kemuncak Monsun Timur Laut Akan Berlaku Pada 24 – 26 Disember 2021 Adalah Tidak Benar,1.0
MET Malaysia Tidak Mengeluarkan Maklumat Cuaca Berkenaan ‘Kepala Ribut’,MET Malaysia Tidak Mengeluarkan Maklumat Cuaca Berkenaan ‘Kepala Ribut’,1.0
Waspada Pautan Berkaitan TNB Yang Menawarkan Wang Tunai Sempena Ulang Tahun Ulang Tahun TNB,Waspada Pautan Berkaitan TNB Yang Menawarkan Wang Tunai Sempena Ulang Tahun Ulang Tahun TNB,1.0
Mesej Boleh Mendapatkan Vaksinasi Tanpa Janji Temu MySejahtera Di PPV Offsite Tapak Expo Seberang Jaya Adalah Tidak Benar,Mesej Boleh Mendapatkan Vaksinasi Tanpa Janji Temu MySejahtera Di PPV Offsite Tapak Expo Seberang Jaya Adalah Tidak Benar,1.0
Menteri KPDNHEP Tidak Keluarkan Kenyataan Seperti Yang Tular Di Media Sosial,Menteri KPDNHEP Tidak Keluarkan Kenyataan Seperti Yang Tular Di Media Sosial,1.0
DYMM Sultan Johor Tidak Pernah Mengeluarkan Kenyataan Terhadap Kerajaan Seperti Yang Ditularkan,DYMM Sultan Johor Tidak Pernah Mengeluarkan Kenyataan Terhadap Kerajaan Seperti Yang Ditularkan,1.0
Penjelasan Dakwaan Kes Samun Menggunakan Pisau Yang Disembunyikan Di Sebalik Kad Nama,Penjelasan Dakwaan Kes Samun Menggunakan Pisau Yang Disembunyikan Di Sebalik Kad Nama,1.0
KWSP Tidak Mengeluarkan SMS Berkaitan Sekatan Pengeluaran i-Citra,KWSP Tidak Mengeluarkan SMS Berkaitan Sekatan Pengeluaran i-Citra,1.0
Tawaran Perkhidmatan Dan Caj Rawatan Untuk Kimoterapi Oleh IKN Adalah Tidak Benar,Tawaran Perkhidmatan Dan Caj Rawatan Untuk Kimoterapi Oleh IKN Adalah Tidak Benar,1.0
Waspada Unit Saham Bank Rakyat Yang Diniagakan Secara Terbuka Di Media Sosial,Waspada Unit Saham Bank Rakyat Yang Diniagakan Secara Terbuka Di Media Sosial,1.0
Tiada Pakar Bedah HKL Bernama Dr. Shafawati Meninggal Dunia Akibat Vaksin,Tiada Pakar Bedah HKL Bernama Dr. Shafawati Meninggal Dunia Akibat Vaksin,1.0
Premis Makanan Tealive Masih Pemegang Sijil Pengesahan Halal Malaysia Yang Sah,Premis Makanan Tealive Masih Pemegang Sijil Pengesahan Halal Malaysia Yang Sah,1.0
Waspada Sindiket Penipuan Yang Menawarkan Harga Pakej Pelancongan Murah,Waspada Sindiket Penipuan Yang Menawarkan Harga Pakej Pelancongan Murah,1.0
Waspada Sindiket Penipuan Yang Menawarkan Perkhidmatan Berkaitan Pendaftaran Dokumen Pengenalan Diri Di Media Sosial,Waspada Sindiket Penipuan Yang Menawarkan Perkhidmatan Berkaitan Pendaftaran Dokumen Pengenalan Diri Di Media Sosial,1.0
Waspada Modus Operandi Penipuan Suntikan Modal,Waspada Modus Operandi Penipuan Suntikan Modal,1.0
Penjelasan Berhubung Statistik Mengatakan Klang Sebagai Bandar Paling Tidak Selamat Di Asia Tenggara,Penjelasan Berhubung Statistik Mengatakan Klang Sebagai Bandar Paling Tidak Selamat Di Asia Tenggara,1.0
"Dakwaan Seorang Pelajar Perempuan Di Baling, Kedah Meninggal Dunia Akibat Suntikan Adalah Tidak Benar","Dakwaan Seorang Pelajar Perempuan Di Baling, Kedah Meninggal Dunia Akibat Suntikan Adalah Tidak Benar",1.0
"Bukan Untuk Merobohkan Tokong, Tetapi Membina Pagar Penghadang ‘Hoarding’ Untuk Laluan Ke Sekolah","Bukan Untuk Merobohkan Tokong, Tetapi Membina Pagar Penghadang ‘Hoarding’ Untuk Laluan Ke Sekolah",1.0
Iklan Tawaran Lesen Memandu Tanpa Ujian Komputer/JPJ Adalah Tidak Benar Dan Tidak Mengikut Prosedur Yang Ditetapkan Oleh JPJ,Iklan Tawaran Lesen Memandu Tanpa Ujian Komputer/JPJ Adalah Tidak Benar Dan Tidak Mengikut Prosedur Yang Ditetapkan Oleh JPJ,1.0
"Warga Asing Memakai Gelang Pink Didakwa Berkeliaran Di Seksyen 7 Bukit Mahkota, Bangi Adalah Dalam Perjalanan Pulang Ke Kediaman","Warga Asing Memakai Gelang Pink Didakwa Berkeliaran Di Seksyen 7 Bukit Mahkota, Bangi Adalah Dalam Perjalanan Pulang Ke Kediaman",1.0
Waspada Tinjau Selidik Kononnya Sempena Sambutan Ulang Tahun Petronas Yang Ke-50,Waspada Tinjau Selidik Kononnya Sempena Sambutan Ulang Tahun Petronas Yang Ke-50,1.0
Tular Sebuah Video Mendakwa Bahawa Pembantu Rumah Warga Indonesia Didera Adalah Tidak Benar,Tular Sebuah Video Mendakwa Bahawa Pembantu Rumah Warga Indonesia Didera Adalah Tidak Benar,1.0
57 Kes COVID-19 Pada 17 September 2021 Hanya Melibatkan Warga Tempatan Sahaja,57 Kes COVID-19 Pada 17 September 2021 Hanya Melibatkan Warga Tempatan Sahaja,1.0
Poster Pergerakan Rentas Daerah Dan Negeri Dibenarkan Berkuatkuasa Dari 18 September 2021 Adalah Tidak Benar,Poster Pergerakan Rentas Daerah Dan Negeri Dibenarkan Berkuatkuasa Dari 18 September 2021 Adalah Tidak Benar,1.0
"Dakwaan Kononnya Individu Tidak ‘Check-Out’ Di MySejahtera Akan Dikenakan Denda RM1,500 Adalah Tidak Benar","Dakwaan Kononnya Individu Tidak ‘Check-Out’ Di MySejahtera Akan Dikenakan Denda RM1,500 Adalah Tidak Benar",1.0
Tiada Kematian Pesakit Dilaporkan Di HSI Kerana Insiden Gangguan Bekalan Elektrik,Tiada Kematian Pesakit Dilaporkan Di HSI Kerana Insiden Gangguan Bekalan Elektrik,1.0
Dakwaan Bahawa PPV Kompleks Dewan Komuniti Pantai Seremban Memberikan Vaksin Percuma Kepada Warga Asing Adalah Tidak Benar,Dakwaan Bahawa PPV Kompleks Dewan Komuniti Pantai Seremban Memberikan Vaksin Percuma Kepada Warga Asing Adalah Tidak Benar,1.0
Waspada Penawaran Diskaun Bagi Urusan Penangguhan Kes Mahkamah Di Mahkamah Persekutuan Melalui Pihak Ketiga,Waspada Penawaran Diskaun Bagi Urusan Penangguhan Kes Mahkamah Di Mahkamah Persekutuan Melalui Pihak Ketiga,1.0
"Video Kononnya Berlaku Kesesakan Bagi Sambutan Merdeka Di Drawbridge, Kuala Terengganu Adalah Video Lama","Video Kononnya Berlaku Kesesakan Bagi Sambutan Merdeka Di Drawbridge, Kuala Terengganu Adalah Video Lama",1.0
Kenyataan Kononnya Dari DYMM Sultan Johor Terhadap Kerajaan Adalah Tidak Benar,Kenyataan Kononnya Dari DYMM Sultan Johor Terhadap Kerajaan Adalah Tidak Benar,1.0
Poster Kononnya MIDA Mengucapkan Tahniah Kepada DS Azmin Ali Sebagai TPM Adalah Tidak Benar,Poster Kononnya MIDA Mengucapkan Tahniah Kepada DS Azmin Ali Sebagai TPM Adalah Tidak Benar,1.0
Dakwaan Kononnya MCMC Sekat Akses Artikel-Artikel Terbitan Portal Luar Negara Adalah Tidak Benar,Dakwaan Kononnya MCMC Sekat Akses Artikel-Artikel Terbitan Portal Luar Negara Adalah Tidak Benar,1.0
Laporan Berita Astro Awani Berkenaan Dakwaan YDP Agong Mahukan Anwar Ibrahim Sebagai TPM Adalah Tidak Benar,Laporan Berita Astro Awani Berkenaan Dakwaan YDP Agong Mahukan Anwar Ibrahim Sebagai TPM Adalah Tidak Benar,1.0
Mesej Terdapat 15 Bayi & Kanak-Kanak Perlukan Penjagaan Kerana Rumah Anak Yatim Akan Ditutup Adalah Mesej Tidak Benar Dan Ditularkan Semula,Mesej Terdapat 15 Bayi & Kanak-Kanak Perlukan Penjagaan Kerana Rumah Anak Yatim Akan Ditutup Adalah Mesej Tidak Benar Dan Ditularkan Semula,1.0
"Kejadian Seekor Buaya Bawa Mayat Seorang Wanita Berlaku Di Mexico, Bukan Di Jambatan Pulau Pinang","Kejadian Seekor Buaya Bawa Mayat Seorang Wanita Berlaku Di Mexico, Bukan Di Jambatan Pulau Pinang",1.0
"Dakwaan Bahawa PKPD Akan Dilaksanakan Di Jelutong, Perak Road Dan Sungai Pinang Adalah Tidak Benar","Dakwaan Bahawa PKPD Akan Dilaksanakan Di Jelutong, Perak Road Dan Sungai Pinang Adalah Tidak Benar",1.0
Dakwaan Mesej HTJ Seremban Akan Bertukar Status Sebagai Hospital COVID Adalah Tidak Benar,Dakwaan Mesej HTJ Seremban Akan Bertukar Status Sebagai Hospital COVID Adalah Tidak Benar,1.0
Dakwaan Mayat Pesakit COVID-19 Masih Hidup Ketika Mahu Dikebumikan Adalah Tidak Benar,Dakwaan Mayat Pesakit COVID-19 Masih Hidup Ketika Mahu Dikebumikan Adalah Tidak Benar,1.0
"Dakwaan Bahawa HPSF, Muar Akan Menerima Seramai 200 Orang Pesakit COVID-19 Adalah Tidak Benar","Dakwaan Bahawa HPSF, Muar Akan Menerima Seramai 200 Orang Pesakit COVID-19 Adalah Tidak Benar",1.0
"Dakwaan Varian Delta Menular Di Kulai, Johor Adalah Tidak Benar","Dakwaan Varian Delta Menular Di Kulai, Johor Adalah Tidak Benar",1.0
2 Individu Menunggang Motosikal Memakai Gelang ‘Pink’ Dalam Perjalanan Pulang Ke Rumah Untuk Tujuan Kuarantin Kendiri,2 Individu Menunggang Motosikal Memakai Gelang ‘Pink’ Dalam Perjalanan Pulang Ke Rumah Untuk Tujuan Kuarantin Kendiri,1.0
Dakwaan Terdapat Kes Varian Delta COVID-19 Di Taman Sri Kijang Adalah Tidak Benar,Dakwaan Terdapat Kes Varian Delta COVID-19 Di Taman Sri Kijang Adalah Tidak Benar,1.0
"Penjelasan Berhubung Borang Pendaftaran Vaksin ‘Vaksin Pfizer, Kuota TMJ’","Penjelasan Berhubung Borang Pendaftaran Vaksin ‘Vaksin Pfizer, Kuota TMJ’",1.0
Penjelasan Video Tular Berkaitan Kebenaran Rentas Negeri Dan Daerah Bagi Mereka Yang Telah Lengkap 2 Dos Vaksin,Penjelasan Video Tular Berkaitan Kebenaran Rentas Negeri Dan Daerah Bagi Mereka Yang Telah Lengkap 2 Dos Vaksin,1.0
Waspada Dengan Aplikasi Tidak Sah Dari Pihak Ketiga,Waspada Dengan Aplikasi Tidak Sah Dari Pihak Ketiga,1.0
"Tawaran Iklan Permohonan Terbuka Rumah Mampu Milik, Skim MyHome, MyDeposit Dan Bina Rumah Atas Tanah Sendiri Di Bawah SPP Kurang Tepat","Tawaran Iklan Permohonan Terbuka Rumah Mampu Milik, Skim MyHome, MyDeposit Dan Bina Rumah Atas Tanah Sendiri Di Bawah SPP Kurang Tepat",1.0
Kejadian Rompakan Bersenjata 4 Individu Berlaku Di New Delhi Bukan Di Sungai Siput,Kejadian Rompakan Bersenjata 4 Individu Berlaku Di New Delhi Bukan Di Sungai Siput,1.0
Waspada Penyebaran Borang Pendaftaran ‘Google Forms’ Bagi Permohonan Vaksin Sinovac Di PPV BACC,Waspada Penyebaran Borang Pendaftaran ‘Google Forms’ Bagi Permohonan Vaksin Sinovac Di PPV BACC,1.0
Video Tular 2 Wanita Bunuh Diri Video Lama Dan Bukan Di Malaysia,Video Tular 2 Wanita Bunuh Diri Video Lama Dan Bukan Di Malaysia,1.0
Dakwaan Bahawa YAB Perdana Menteri Dimasukkan Ke Hospital Ekoran Masalah Pembedahan Lalu Adalah Tidak Benar,Dakwaan Bahawa YAB Perdana Menteri Dimasukkan Ke Hospital Ekoran Masalah Pembedahan Lalu Adalah Tidak Benar,1.0
"Video Tular Kejadian Rompakan Berlaku Di Luar Negara, Bukan Di Puchong","Video Tular Kejadian Rompakan Berlaku Di Luar Negara, Bukan Di Puchong",1.0
Waspada Penyebaran Borang Pendaftaran Vaksinasi COVID-19 Melalui Saluran Tidak Rasmi,Waspada Penyebaran Borang Pendaftaran Vaksinasi COVID-19 Melalui Saluran Tidak Rasmi,1.0
Waspada Aplikasi Perisian Hasad (Malware) Yang Minta Maklumat Perbankan,Waspada Aplikasi Perisian Hasad (Malware) Yang Minta Maklumat Perbankan,1.0
Waspada Sindiket Penipuan Melalui Mesej Yang Menawarkan Bonus Hari Raya Atas Talian,Waspada Sindiket Penipuan Melalui Mesej Yang Menawarkan Bonus Hari Raya Atas Talian,1.0
Dakwaan Bahawa Penerima Vaksin Akan Mendapat Kesan Sampingan Jika Menggunakan Anesthetic Ketika Pembedahan Adalah Tidak Benar,Dakwaan Bahawa Penerima Vaksin Akan Mendapat Kesan Sampingan Jika Menggunakan Anesthetic Ketika Pembedahan Adalah Tidak Benar,1.0
Mesej Bekenaan Penangguhan Sidang Media / Pernyataan Awam Dari JPN/PPD/Sekolah Sempena Keputusan SPM 2020 Adalah Tidak Benar,Mesej Bekenaan Penangguhan Sidang Media / Pernyataan Awam Dari JPN/PPD/Sekolah Sempena Keputusan SPM 2020 Adalah Tidak Benar,1.0
Mesej Kononnya SOP Terkini Oleh MKN Berkenaan Pelaksanaan Lockdown Adalah Tidak Benar,Mesej Kononnya SOP Terkini Oleh MKN Berkenaan Pelaksanaan Lockdown Adalah Tidak Benar,1.0
"Tiada Sebarang Grafik Dikeluarkan Oleh Pihak MITI Bagi Pelaksanaan PKP Fasa Pertama, Bagi Tempoh 1 – 14 Jun 2021","Tiada Sebarang Grafik Dikeluarkan Oleh Pihak MITI Bagi Pelaksanaan PKP Fasa Pertama, Bagi Tempoh 1 – 14 Jun 2021",1.0
Tiada Kejadian Sebuah Keluarga Meninggal Dunia Di Dalam Rumah Di Taman Merdeka Ketika Dalam Tempoh Kuarantin,Tiada Kejadian Sebuah Keluarga Meninggal Dunia Di Dalam Rumah Di Taman Merdeka Ketika Dalam Tempoh Kuarantin,1.0
Dakwaan Pendaftaran Vaksin AstraZeneca Dibuka Bagi Golongan Yang Berumur 60 Tahun Ke Bawah Bermula 25 Mei 2021 Adalah Tidak Benar,Dakwaan Pendaftaran Vaksin AstraZeneca Dibuka Bagi Golongan Yang Berumur 60 Tahun Ke Bawah Bermula 25 Mei 2021 Adalah Tidak Benar,1.0
Dakwaan Bahawa Posmen Akan Bekerja Dari Rumah Adalah Tidak Benar,Dakwaan Bahawa Posmen Akan Bekerja Dari Rumah Adalah Tidak Benar,1.0
Dakwaan Pemberian Vaksin Untuk Penduduk Di Sekitar Bandar Seri Putra Adalah Tidak Benar,Dakwaan Pemberian Vaksin Untuk Penduduk Di Sekitar Bandar Seri Putra Adalah Tidak Benar,1.0
Dakwaan 200 Penduduk Kampung Pauh Lima Lari Dari Kawasan PKPD Adalah Tidak Benar,Dakwaan 200 Penduduk Kampung Pauh Lima Lari Dari Kawasan PKPD Adalah Tidak Benar,1.0
"Dakwaan Mesej Kononnya Kerajaan Selangor Melancarkan 500,000 Vaksin Sinovac Tambahan Adalah Tidak Benar","Dakwaan Mesej Kononnya Kerajaan Selangor Melancarkan 500,000 Vaksin Sinovac Tambahan Adalah Tidak Benar",1.0
"Tiada Kes Varian Afrika Selatan Dilaporkan Di Palong, Jempol Dan Tiada Penutupan Jalan Keluar Masuk Di Sekitar Palong 4, 5 dan 6","Tiada Kes Varian Afrika Selatan Dilaporkan Di Palong, Jempol Dan Tiada Penutupan Jalan Keluar Masuk Di Sekitar Palong 4, 5 dan 6",1.0
KBS Tidak Pernah Memberi Kelulusan Penyertaan Warganegara Israel,KBS Tidak Pernah Memberi Kelulusan Penyertaan Warganegara Israel,1.0
Dakwaan Bahawa PNSB Mengusir Penduduk Orang Asli Suku Mah Meri Di Bagan Lalang Tidak Tepat,Dakwaan Bahawa PNSB Mengusir Penduduk Orang Asli Suku Mah Meri Di Bagan Lalang Tidak Tepat,1.0
PMO Tidak Keluarkan Kenyataan Media Berbahasa Inggeris Berhubung Pelaksanaan PKP,PMO Tidak Keluarkan Kenyataan Media Berbahasa Inggeris Berhubung Pelaksanaan PKP,1.0
Waspada Laman Sesawang Mirip Laman Rasmi Bantuan Prihatin Rakyat (BPR),Waspada Laman Sesawang Mirip Laman Rasmi Bantuan Prihatin Rakyat (BPR),1.0
Semua Penerbangan MAB Dari India Ke Malaysia Adalah Penerbangan Kargo,Semua Penerbangan MAB Dari India Ke Malaysia Adalah Penerbangan Kargo,1.0
Dakwaan Bahawa Hasil Bedah Siasat Doktor Di Rusia Ke Atas Pesakit Pesakit COVID-19 Menemui Punca Kematian Bukan Disebabkan Oleh Virus Adalah Tidak Benar,Dakwaan Bahawa Hasil Bedah Siasat Doktor Di Rusia Ke Atas Pesakit Pesakit COVID-19 Menemui Punca Kematian Bukan Disebabkan Oleh Virus Adalah Tidak Benar,1.0
Jabatan Perumahan Negara Tidak Terlibat Dalam Permohonan Sumbangan Oleh ‘Majlis Kebangsaan Kesatuan Pekerja-Pekerja Kerajaan Malaysia’,Jabatan Perumahan Negara Tidak Terlibat Dalam Permohonan Sumbangan Oleh ‘Majlis Kebangsaan Kesatuan Pekerja-Pekerja Kerajaan Malaysia’,1.0
"Dakwaan Anggota Polis Meninggal Dunia Selepas Menerima Vaksin Ke-2 Di Hospital Gerik, Perak Adalah Tidak Benar","Dakwaan Anggota Polis Meninggal Dunia Selepas Menerima Vaksin Ke-2 Di Hospital Gerik, Perak Adalah Tidak Benar",1.0
"Poster MKN Berkenaan Larangan Dine-In Di Restoran/ Kedai Makan Bagi Kawasan PKP, PKPB & PKPP Berkuatkuasa Dari 13 April – 12 May 2021 Adalah Poster Yang Diubahsuai","Poster MKN Berkenaan Larangan Dine-In Di Restoran/ Kedai Makan Bagi Kawasan PKP, PKPB & PKPP Berkuatkuasa Dari 13 April – 12 May 2021 Adalah Poster Yang Diubahsuai",1.0
"Waspada Tawaran Bagi Permudah Urusan Penukaran Nama, Lesen Memandu & Cukai Jalan","Waspada Tawaran Bagi Permudah Urusan Penukaran Nama, Lesen Memandu & Cukai Jalan",1.0
Tiada Penularan COVID-19 Dilaporkan Di 7 Buah Sekolah Di Daerah Dungun,Tiada Penularan COVID-19 Dilaporkan Di 7 Buah Sekolah Di Daerah Dungun,1.0
Infografik Larangan Membuat Pernyataan Awam Bukan Dikeluarkan Oleh KKM,Infografik Larangan Membuat Pernyataan Awam Bukan Dikeluarkan Oleh KKM,1.0
Penjelasan Berkenaan Laporan Hospital Serdang Mengutamakan ‘Influencer’ Dalam Pemberian Vaksin COVID-19,Penjelasan Berkenaan Laporan Hospital Serdang Mengutamakan ‘Influencer’ Dalam Pemberian Vaksin COVID-19,1.0
Polis Nafi Bertindak Kasar Ketika Menahan Wanita Warga Indonesia,Polis Nafi Bertindak Kasar Ketika Menahan Wanita Warga Indonesia,1.0
Kanak-kanak Bawah 12 Tahun Tidak Digalakkan Memasuki Pusat Beli-belah / Kedai...,Kanak-kanak Bawah 12 Tahun Tidak Digalakkan Memasuki Pusat Beli-belah / Kedai...,1.0
Borang Persetujuan Suntikan Vaksin COVID-19 Yang Ditularkan Adalah Borang Belum Muktamad,Borang Persetujuan Suntikan Vaksin COVID-19 Yang Ditularkan Adalah Borang Belum Muktamad,1.0
Surat Penerimaan Dan Sokongan Kepada Pemohon Laksanakan Pembinaan Infrastruktur Pelan Jendela Adalah Palsu,Surat Penerimaan Dan Sokongan Kepada Pemohon Laksanakan Pembinaan Infrastruktur Pelan Jendela Adalah Palsu,1.0
Waspada Aplikasi Mudah Alih Yang Menggunakan Nama & Logo BNM,Waspada Aplikasi Mudah Alih Yang Menggunakan Nama & Logo BNM,1.0
Dakwaan Ketua Pengarah Kesihatan Telah Meletakkan Jawatan Adalah Tidak Benar,Dakwaan Ketua Pengarah Kesihatan Telah Meletakkan Jawatan Adalah Tidak Benar,1.0
Dakwaan Kononnya Pautan Pada Status WhatsApp Akan Menyebabkan Data Peribadi Dan Maklumat Akaun Bank Dipindahkan Kepada Sindiket Penipuan Adalah Tidak Benar,Dakwaan Kononnya Pautan Pada Status WhatsApp Akan Menyebabkan Data Peribadi Dan Maklumat Akaun Bank Dipindahkan Kepada Sindiket Penipuan Adalah Tidak Benar,1.0
Anggota Polis Hanya Bantu Pergerakan Pedati Bagi Mematuhi SOP Yang Telah Ditetapkan,Anggota Polis Hanya Bantu Pergerakan Pedati Bagi Mematuhi SOP Yang Telah Ditetapkan,1.0
